Gene Symbol,Expression Value
DDR1,9.620379772
RFC2,6.099390212
HSPA6,6.140462207
PAX8,10.3559748
GUCA1A,3.323765734
MIR5193,7.659886608
THRA,5.464100987
PTPN21,5.287496605
CCL5,5.389027478
CYP2E1,4.684160316
EPHB3,6.786349327
ESRRA,8.077514192
CYP2A6,5.801064507
SCARB1,6.983562206
TTLL12,6.811134443
LINC00152,5.885067996
WFDC2,5.615023519
MAPK1,4.719428766
MAPK1.1,6.614990554
ADAM32,3.819428274
SPATA17,4.096616358
PRR22,5.399186377
PRR22.1,6.421052073
PXK,6.85735578
PXK.1,6.152409653
VPS18,5.487724354
MSANTD3,7.396944501
SLC46A1,4.562408511
SLC46A1.1,6.675808013
TIMD4,3.830228042
SLC39A5,8.501204196
ZDHHC11,6.125652068
ATP6V1E2,5.294441605
AFG3L1P,7.219947121
CILP2,5.994705502
CILP2.1,5.194926989
PIGX,6.033459563
TMEM196,4.627312348
SLC39A13,6.892476094
BEST4,3.491978141
AK9,3.457959587
CORO6,4.529035237
TMEM106A,6.618947389
TMEM106A.1,6.098511505
ALG10,3.354118451
ALG10.1,3.392179356
TTC39C,4.658879807
NEXN,6.139900033
C15orf40,5.826733424
RAX2,6.897945428
MFAP3,4.419754461
EYA3,3.701476875
GIMAP1,6.983083055
GIMAP1.1,7.587321641
GIMAP1.2,6.782567383
KLK8,4.214669268
CCDC65,3.19225356
CCDC65.1,3.452324693
FAM122C,3.004353261
FAM122C.1,3.960801037
CCDC11,3.140119511
CCDC11.1,5.626062888
ARMCX4,5.06207008
RBBP6,6.601406827
CENPBD1,5.626503549
TRIOBP,6.983104721
TRIOBP.1,6.243349297
CATSPER1,4.936022278
HOXD4,6.111542108
GSC,5.104846705
SP7,4.42619576
PDE7A,5.928650729
CNOT7,4.605088681
CRYZL1,8.340894399
PRSS33,5.960200756
PRSS33.1,4.439257796
C19orf26,5.876727859
C19orf26.1,5.421082801
MCMDC2,3.182853649
TIRAP,4.518066094
LEAP2,7.408186809
MSI2,4.763266135
SCIN,8.841169289
SCIN.1,7.809538114
CTCFL,3.641419651
C4orf33,5.93921331
C4orf33.1,2.869395372
C4orf33.2,3.140714231
ZNF333,3.78409325
TVP23C,6.611973313
RDH10,5.627526504
RDH10.1,2.800349875
SRSF12,3.446775415
FAM71A,7.684467301
FAM71A.1,5.559664149
GAPT,3.164812097
FLJ30901,5.70218827
ERICH5,3.587341401
ERICH5.1,3.501149036
CCDC185,4.319310754
ENTHD1,2.742330113
ENTHD1.1,3.135547258
TSSK3,6.894484495
WFDC6,4.794057571
CLEC12A,4.277672464
BRF1,4.067779598
C15orf27,4.229090163
BACH1,3.550512153
CALML6,3.879355577
NLRP5,4.545797702
ODF4,3.70492348
ODF4.1,5.803690367
CLEC4F,4.972673438
DEFB106A,5.167733734
DEFB106A.1,3.839473429
WFDC9,4.061310874
WFDC9.1,4.411876977
NEDD1,3.86127767
TTLL10,4.251207853
TTLL10.1,6.038402736
CALR3,3.562969965
C10orf25,5.406851392
ETV3,6.208648655
KLHL10,3.582263296
KLHL10.1,3.965711281
TM2D3,9.225902094
ZNF485,3.215154691
WDR17,3.164837797
MFSD6L,5.054986773
CDH23,4.300890262
ANKAR,3.317701761
MEGF11,3.312105241
GPR182,4.588664622
ESX1,3.522918577
C8orf12,3.695868695
LOC653486,4.149181514
DNAJC5G,5.97919334
WDR88,3.578293092
WDR88.1,4.043151356
PRUNE2,6.763177239
MBD3L2,4.531738497
ADAMTSL1,3.524864811
MBD3L1,3.437927508
MBD3L1.1,4.413082757
FAM46D,3.359560313
SERPINB11,3.71086019
LINC00161,3.011014655
DSCR10,6.682911624
DSCR10.1,3.976368348
ABHD11,4.056509084
ACAP2,4.152768841
GAMT,7.369724866
GAMT.1,7.414097227
PLCD3,6.047852069
IRF6,4.409852485
IRF6.1,3.512959003
PTPRC,2.790633566
MAN1A2,3.726651277
RAPH1,4.37584859
SMCR8,5.797443979
LACTB,4.303936523
LACTB.1,4.861118119
BNC1,2.861146815
MPP4,2.965373779
LACE1,3.524864811
IDI2,5.256649576
CYP11B1,4.599753856
TAF8,5.239912142
COBL,5.399368049
SLAMF6,5.948792782
ZSCAN20,3.650938748
ZSCAN20.1,3.893015026
GPBAR1,6.943206909
RHBDL2,3.333874724
FRAS1,5.126515755
BRSK1,6.330461603
CRB2,3.981415635
KCNE4,4.633112385
KCNE4.1,4.274756866
CD300LG,5.340423947
SLC34A3,8.040419048
CPA6,3.302916522
WBP2NL,4.088452862
HIPK1,3.796111148
HIPK1.1,4.864552714
MTBP,3.332886882
ACVR1C,4.275569569
TMEM74,3.077953512
TMEM74.1,2.992066614
TIGD4,2.860883791
TIGD4.1,4.164234419
ART5,6.370062872
FAM71C,3.966287809
C21orf67,6.570735802
NLRP11,4.010864325
ATP6V1C2,5.056078762
CLDN19,6.690397611
VTI1A,4.950658894
KIF6,3.824931644
IQCD,5.332184268
TAGAP,6.656466119
TAGAP.1,3.979522808
STON2,4.400968347
SERPINA12,4.419056882
LETM2,4.532017077
BSND,5.309365542
BSND.1,7.235859876
CLEC4C,3.553145215
NLRC4,4.323192755
NLRC4.1,3.563786729
PRSS36,6.014081433
ZDHHC15,4.083152232
RAI1,6.097384703
CDK15,4.393716567
ZNF570,4.597641778
AF131215.4,3.822705548
NUDT9P1,4.556295171
BTBD16,3.698184445
RTP3,4.588664622
RTP3.1,3.906161763
TSPEAR,3.402359495
MIPOL1,3.033503351
MIPOL1.1,3.883911429
C6orf141,5.148648546
ALMS1P,4.655465023
MYO3B,5.269462234
ADAM21,3.918035548
TRIML2,4.858608779
ABCC13,3.796417369
ABCC13.1,3.814797167
IL12RB1,4.515904102
GTF2A1L,3.032957753
TRPV3,5.595893732
CNBD1,3.427906885
CNBD1.1,3.459060229
ABCC12,3.363091533
MMP21,3.19032607
TMEM190,5.36757543
GAS2L2,6.670264164
KCNG4,4.125973752
PXT1,3.286491081
CACNG5,5.487072483
LINC00308,4.475625869
LINC00308.1,3.675471067
FAM223A,4.413749164
WFDC11,5.139874927
IFNL2,4.229727014
JAK1,8.563196314
JAK1.1,6.469584529
CDC42SE2,6.18100438
CDC42SE2.1,5.87421086
ACACB,7.831049594
ACACB.1,4.943021172
RFWD2,6.673469901
STX6,6.757679511
ANLN,3.276730167
SPRR4,7.44894893
POLR2J,8.052468382
LOC441259,7.462454986
HSH2D,4.734263622
TRNT1,5.820310332
TMEM163,6.017634615
ARHGAP5,5.380608023
HERPUD2,8.256398152
JMJD6,3.935315747
SRCAP,4.86014743
MAP3K6,5.341134336
ARSG,4.678971951
ZNF101,4.14355907
ZNF101.1,4.627298755
PTPN11,3.864252405
KLHDC7B,5.627847371
ATAD3A,5.734829235
ZNF626,5.574181139
PHC3,3.442352236
IL11RA,6.517283952
TNFRSF10A,5.408405752
RAD51L3.RFFL,4.187867979
RAD51L3.RFFL.1,4.289081468
HPS4,6.546738356
UHMK1,4.779847005
TXNDC2,5.519860823
NAV3,3.611500534
C5orf22,4.310025062
PCDHGB7,2.757544898
PCDHGB7.1,4.765247056
ERC1,6.150041458
FLCN,6.520563062
JMJD1C.AS1,5.310165433
LRRC7,3.14604003
SH2D3C,5.911288019
PPP1R3B,4.115436958
PPP1R3B.1,4.966579516
SLC9A7,4.826381176
IGSF3,5.564257553
RFX6,3.241599352
DIRC1,2.924922989
DNAJB7,3.186590498
UCN3,5.627290811
DIP2A,5.379284834
USP28,6.029142118
CASC5,3.481921265
CASC5.1,3.990582028
SENP8,4.216406988
GRHL1,4.871264977
CNBD2,5.321061783
CNBD2.1,5.048357347
CASKIN1,5.76845037
CACNA2D4,4.874229761
ARL11,3.025370679
ARL11.1,3.088584195
SLC2A13,3.049416976
SLC2A13.1,3.937519041
NIPA1,3.817677326
TUBA3FP,5.843970704
CARD16,7.347038117
CARD16.1,5.845587069
DUSP19,3.290862849
DUSP19.1,3.177889059
CYB5D1,8.230419695
NMNAT2,4.390937558
SLC4A1,5.610530499
CREG2,3.548797068
RXFP1,3.58383418
SPEF2,5.87368591
CEP170,3.887848032
DTD1,5.230928462
CASC4,5.716618932
FGF1,5.590834236
ARPP21,2.921419568
RHOXF1,5.942326316
ADAMTS17,4.480929017
ADAMTS17.1,4.43875069
ADAMTS17.2,4.439172343
SNHG7,5.618300914
DHH,3.842426542
ABRA,4.165374457
ABRA.1,3.024348679
KLHDC1,6.564693183
RICTOR,3.553944676
PCDHGA4,4.940892643
NETO1,3.957350142
WWP2,3.934102663
ST7L,3.464543856
ST7L.1,5.784341924
C2orf15,3.726996123
KCNH8,3.451167599
MCF2L,4.030615373
SLCO6A1,3.730981798
PP2D1,3.093457039
KLC3,8.210703052
CIB3,3.739364398
CIB3.1,5.4344114
CADM2,3.60824109
CADM2.1,3.243652789
C9orf66,6.713994369
C9orf66.1,5.258429012
HDAC9,3.698893853
HDAC9.1,3.628428459
SLC16A11,6.519216826
TMEM67,3.051705351
TMEM67.1,3.104254606
HS6ST2,4.022858254
HS6ST2.1,8.806665263
CAMKK1,6.305223894
ZNF625,4.289474618
ZNF563,5.578738628
LIN9,3.865235459
CLEC4D,4.002007719
CLEC4D.1,4.250688089
SLC25A27,5.247721145
GPRC6A,5.420843231
RAET1E,4.301307796
SLC44A5,3.721798723
SLC44A5.1,3.363091533
ZNF417,3.047419291
ZNF781,3.520447366
HELB,3.748266847
HELB.1,4.697198374
SEC62,5.147545021
SEC62.1,8.292363453
TRDN,2.923353044
SOCS4,3.184962827
C8orf31,4.550463402
ZNF547,3.618500519
SIM1,4.260380337
PROM2,8.553966368
TLR4,5.584522222
TSNARE1,4.658750005
ABHD11.1,7.239626424
CAPN13,4.47994841
STMN1,3.980504817
TIRAP.1,5.233660573
SIGLEC10,4.61057888
SIGLEC10.1,5.783360894
ADAMTSL1.1,3.258566865
RFX4,3.466193504
WFIKKN1,6.614990554
SENP1,4.591185187
KLF14,5.66329638
KLF14.1,4.149519761
NXNL2,3.142988939
BRS3,4.06967852
LINC00205,4.567353914
TMX3,3.076365708
ZNF396,3.781980961
SLC26A7,4.030677428
SLC26A7.1,4.073356343
SNX18,4.067635569
NA.,4.916946574
FBXO39,4.042637616
B3GNT6,4.913280923
B3GNT6.1,5.248781256
DENND1B,3.255171333
ZNF619,4.820014813
ICK,2.87679789
FAM71D,3.597683279
BCL2L14,3.427323359
HS6ST3,4.474276541
SLC26A1,4.35301199
CLDN15,6.033802539
RAB42,5.820258888
PTCHD1,3.529399599
M1AP,3.296686744
ZSCAN4,3.197537261
ZSCAN4.1,3.512111529
VWA5B1,4.444747414
VWA5B1.1,4.30539459
LINC00311,3.840435476
HTR6,4.626512284
MAGEB6,2.787057713
LOC101060464,4.39363419
RUSC1.AS1,5.30856779
CACNG6,6.972816666
LMNTD1,5.709888409
NA..1,6.516073319
CIRBP.AS1,6.023749774
AXDND1,3.118528963
ASMTL.AS1,5.901770041
ASMTL.AS1.1,6.114188789
CD200R1,3.296871166
LINC00334,3.505431232
LINC00334.1,4.359759878
ATOH7,3.447632193
ATOH7.1,4.478310259
SEC16B,4.417646136
AMER1,3.652799629
NKX6.3,5.199185421
NKX6.3.1,7.210234158
