"Probe ID","Expression Value"
"1007_s_at",10.05750788
"1053_at",6.327629971
"117_at",5.439336531
"121_at",10.72562984
"1255_g_at",3.16895871
"1294_at",7.598744711
"1316_at",5.461737254
"1320_at",5.264306979
"1405_i_at",6.32584321
"1431_at",3.558883425
"1438_at",5.808568506
"1487_at",8.521316964
"1494_f_at",5.419187966
"1552256_a_at",6.592349986
"1552257_a_at",6.777942219
"1552258_at",4.105171274
"1552261_at",5.902977016
"1552263_at",4.836091745
"1552264_a_at",7.190028192
"1552266_at",3.460126369
"1552269_at",4.849244344
"1552271_at",5.368778033
"1552272_a_at",5.911484334
"1552274_at",6.882810012
"1552275_s_at",6.970039216
"1552276_a_at",5.176689936
"1552277_a_at",6.93947096
"1552278_a_at",5.034229623
"1552279_a_at",6.792362046
"1552280_at",3.975233298
"1552281_at",9.299211233
"1552283_s_at",5.96111745
"1552286_at",5.356608432
"1552287_s_at",6.960733372
"1552288_at",3.934481054
"1552289_a_at",3.880375192
"1552291_at",6.452286737
"1552293_at",4.46730522
"1552295_a_at",7.302624905
"1552296_at",3.289342901
"1552299_at",4.236479403
"1552301_a_at",4.463624626
"1552302_at",7.084297435
"1552303_a_at",7.202705725
"1552304_at",3.635465509
"1552306_at",3.776200192
"1552307_a_at",4.167101543
"1552309_a_at",5.299435385
"1552310_at",7.255894802
"1552311_a_at",6.819026804
"1552312_a_at",5.047331329
"1552314_a_at",3.661411222
"1552315_at",6.375067764
"1552316_a_at",6.439002372
"1552318_at",6.22175376
"1552319_a_at",3.862687335
"1552320_a_at",2.967493368
"1552321_a_at",3.265724665
"1552322_at",3.165285371
"1552323_s_at",4.231135858
"1552325_at",2.99280392
"1552326_a_at",5.26382874
"1552327_at",5.085195944
"1552329_at",5.956087702
"1552330_at",6.173731232
"1552332_at",6.284642048
"1552334_at",5.637712221
"1552335_at",4.661431281
"1552337_s_at",6.40562024
"1552338_at",3.993010458
"1552340_at",4.127212374
"1552343_s_at",6.481216554
"1552344_s_at",5.695365549
"1552347_at",8.51643918
"1552348_at",5.766500443
"1552349_a_at",4.184974345
"1552354_at",4.613903687
"1552355_s_at",5.297492419
"1552359_at",3.047737464
"1552360_a_at",5.23912235
"1552362_a_at",7.336273658
"1552364_s_at",5.355123549
"1552365_at",9.254157602
"1552367_a_at",8.360066515
"1552368_at",3.379641986
"1552370_at",7.047182512
"1552372_at",2.907430877
"1552373_s_at",3.114595927
"1552375_at",3.901625625
"1552377_s_at",6.40135737
"1552378_s_at",6.450280877
"1552379_at",2.735152097
"1552381_at",3.407357202
"1552383_at",6.872792894
"1552384_a_at",5.373294704
"1552386_at",3.328440628
"1552388_at",5.846969655
"1552389_at",4.538553009
"1552390_a_at",5.113706508
"1552391_at",4.130387224
"1552393_at",2.86377452
"1552394_a_at",3.055201306
"1552395_at",6.509702883
"1552396_at",4.22268369
"1552398_a_at",3.322876308
"1552399_a_at",4.225845818
"1552400_a_at",4.287458838
"1552401_a_at",3.457238031
"1552402_at",3.943930081
"1552405_at",4.535166309
"1552408_at",3.251293404
"1552409_a_at",5.704180093
"1552410_at",4.611345207
"1552411_at",5.698311653
"1552412_a_at",3.1412181
"1552414_at",4.129409023
"1552415_a_at",3.971142396
"1552417_a_at",4.342701724
"1552418_at",4.057647346
"1552419_s_at",5.824413741
"1552421_a_at",3.572747132
"1552422_at",4.876461539
"1552423_at",5.896631364
"1552424_at",3.49560267
"1552425_a_at",4.480378459
"1552426_a_at",9.30142753
"1552427_at",3.244784074
"1552430_at",3.282897958
"1552432_at",4.660595886
"1552436_a_at",4.437119733
"1552438_a_at",3.37975878
"1552439_s_at",3.832404228
"1552440_at",4.241363507
"1552445_a_at",3.33371399
"1552448_a_at",3.548123469
"1552449_a_at",4.038209402
"1552450_a_at",6.023279668
"1552452_at",3.389891446
"1552453_a_at",3.865650887
"1552455_at",6.528454797
"1552456_a_at",4.348376482
"1552457_a_at",3.268611183
"1552458_at",3.127808091
"1552459_a_at",3.709531322
"1552461_at",3.313882956
"1552463_at",3.448048975
"1552466_x_at",2.906877124
"1552467_at",6.759642758
"1552468_a_at",3.805822255
"1552470_a_at",4.094468874
"1552472_a_at",4.683061215
"1552473_at",7.463093248
"1552474_a_at",8.126210656
"1552476_s_at",5.408567711
"1552477_a_at",5.896351512
"1552478_a_at",4.48557974
"1552480_s_at",2.746870486
"1552481_s_at",4.337959982
"1552482_at",3.707667012
"1552484_at",5.508347297
"1552485_at",6.433054157
"1552486_s_at",6.352356718
"1552487_a_at",2.983278115
"1552489_s_at",2.802980062
"1552490_at",4.067039913
"1552491_at",5.358439204
"1552493_s_at",4.04463847
"1552494_at",4.666160248
"1552496_a_at",6.5467448
"1552497_a_at",5.582955931
"1552498_at",3.445313656
"1552499_a_at",3.653815362
"1552501_a_at",6.533085084
"1552502_s_at",3.227465452
"1552503_at",5.244558506
"1552504_a_at",6.275422037
"1552506_at",3.681432078
"1552507_at",4.600095163
"1552508_at",4.046150332
"1552509_a_at",4.711346324
"1552510_at",7.604365101
"1552511_a_at",3.301991657
"1552514_at",4.235665085
"1552515_at",3.572187084
"1552516_a_at",5.411347379
"1552518_s_at",3.68950065
"1552519_at",4.479115151
"1552520_at",3.249303681
"1552521_a_at",3.012514268
"1552522_at",2.68338368
"1552523_a_at",4.09630275
"1552524_at",5.856633295
"1552526_at",3.935171442
"1552528_at",6.155828507
"1552531_a_at",3.491801402
"1552532_a_at",6.339806755
"1552535_at",7.192415789
"1552536_at",4.477096281
"1552538_a_at",3.723531743
"1552540_s_at",5.086709449
"1552541_at",6.467106227
"1552542_s_at",3.815717007
"1552543_a_at",4.105314515
"1552544_at",4.331019501
"1552546_a_at",3.974147495
"1552548_at",5.889479984
"1552549_a_at",6.997709886
"1552552_s_at",3.115969884
"1552553_a_at",3.953934636
"1552554_a_at",3.56989754
"1552555_at",5.414694661
"1552557_a_at",4.116873257
"1552558_a_at",6.041780303
"1552559_a_at",4.063989704
"1552562_at",4.746796525
"1552563_a_at",3.81762844
"1552564_at",4.006978162
"1552566_at",3.601231668
"1552568_at",4.384702547
"1552569_a_at",4.186426168
"1552570_at",3.228935442
"1552572_a_at",3.176998624
"1552573_s_at",3.899305489
"1552575_a_at",4.287828947
"1552576_at",4.383695501
"1552578_a_at",5.809433027
"1552579_a_at",4.48557974
"1552580_at",5.00088927
"1552582_at",3.576588641
"1552583_s_at",3.62735068
"1552584_at",4.648860825
"1552585_s_at",2.712951241
"1552586_at",5.086709449
"1552587_at",3.170103175
"1552588_a_at",3.186555164
"1552590_a_at",3.305660353
"1552592_at",2.932981204
"1552594_at",5.27944225
"1552596_at",6.192966714
"1552598_at",3.36804623
"1552599_at",3.496965419
"1552602_at",5.27664104
"1552604_at",4.442988528
"1552605_s_at",3.564433223
"1552607_at",4.69119799
"1552608_at",4.656441053
"1552609_s_at",4.031400406
"1552610_a_at",9.23142219
"1552611_a_at",6.673372837
"1552612_at",7.204757657
"1552613_s_at",6.700469402
"1552615_at",7.991016289
"1552616_a_at",5.353241608
"1552617_a_at",7.36602737
"1552618_at",6.761827354
"1552619_a_at",3.455302175
"1552620_at",7.332530632
"1552621_at",8.73772829
"1552622_s_at",8.047687917
"1552623_at",4.410247826
"1552625_a_at",6.320214565
"1552626_a_at",5.809742751
"1552627_a_at",6.779689209
"1552628_a_at",8.358789092
"1552629_a_at",3.836643376
"1552630_a_at",4.558906331
"1552631_a_at",4.530847852
"1552632_a_at",4.408075977
"1552633_at",4.027910406
"1552634_a_at",4.440088279
"1552637_at",3.496207467
"1552639_at",5.024701042
"1552641_s_at",5.599698017
"1552643_at",6.070611076
"1552644_a_at",3.070138725
"1552646_at",6.10134161
"1552648_a_at",5.459047737
"1552649_a_at",4.855989495
"1552651_a_at",4.500353899
"1552652_at",6.32526854
"1552656_s_at",5.177949051
"1552657_a_at",5.22458445
"1552658_a_at",3.552472552
"1552660_a_at",6.241889548
"1552661_at",2.724642379
"1552662_a_at",4.484257024
"1552663_a_at",6.252221198
"1552664_at",6.152298151
"1552665_at",4.969255727
"1552666_a_at",3.319805353
"1552667_a_at",5.149062393
"1552669_at",4.215564614
"1552670_a_at",5.851285364
"1552671_a_at",4.363583039
"1552672_a_at",5.182123657
"1552673_at",3.164889578
"1552674_at",2.841544183
"1552675_at",2.982293738
"1552676_at",5.155056904
"1552677_a_at",5.812948439
"1552678_a_at",6.653944126
